Topaz Number	Group	Ymaze Condition	Mouse ID	ID	"acqday1, s1"	"acqday1, s2"	"acqday1, s3"	"acqday1, s4"	"acqday2, s1"	"acqday2, s2"	"acqday2, s3"	"acqday2, s4"	"rev, s1"	"rev, s2"	"rev, s3"	"rev, s4"	"rev, s5"
67581	AcuteCNOnCrusILT	reversal	16	6758116	40	80	100	100	100	100	100	100	0	60	100	100	100
67581	AcuteCNOnCrusILT	reversal	17	6758117	0	20	40	100	0	20	20	80	0	20	40	100	100
67585	AcuteCNOnCrusILT	reversal	1	675851	80	60	60	20	80	80	60	80	80	60	60	100	100
67585	AcuteCNOnCrusILT	reversal	2	675852	40	40	80	80	100	100	100	100	0	20	60	100	100
	AcuteCNOnCrusILT	reversal	13	13	60	100	100	100	80	100	100	100	0	40	0	100	100
	AcuteCNOnCrusILT	reversal	18	18	60	100	80	80	80	100	100	100	20	0	40	100	100
28375	AcuteCNOnCrusIRT	reversal	16	2837516	60	60	100	100	80	100	80	40	40	60	80	100	100
28416	AcuteCNOnCrusIRT	reversal	6	284166	100	40	80	100	80	100	100	100	0	0	0	40	0
28417	AcuteCNOnCrusIRT	reversal	1	284171	0	0	20	20	80	100	100	100	0	0	0	60	40
39581	AcuteCNOnCrusIRT	reversal	22	3958122	80	100	100	100	80	100	100	100	20	40	60	100	100
39582	AcuteCNOnCrusIRT	reversal	10	3958210	40	60	80	80	100	100	100	100	40	40	80	100	100
60492	AcuteCNOnCrusIRT	reversal	1	604921	0	20	40	100	100	100	100	100	0	0	60	100	80
60492	AcuteCNOnCrusIRT	reversal	2	604922	0	40	0	0	100	100	100	100	0	20	60	80	80
60492	AcuteCNOnCrusIRT	reversal	3	604923	40	0	0	20	40	60	100	80	0	0	0	60	80
60492	AcuteCNOnCrusIRT	reversal	4	604924	20	100	100	100	80	100	100	100	0	40	80	100	100
60492	AcuteCNOnCrusIRT	reversal	5	604925	60	80	100	100	40	60	60	80	0	0	0	0	0
60490	AcuteCNOnCrusIRT	reversal	6	604906	60	80	60	80	100	100	100	100	0	0	0	0	0
60490	AcuteCNOnCrusIRT	reversal	7	604907	40	100	60	100	100	100	100	100	0	40	80	100	100
60490	AcuteCNOnCrusIRT	reversal	8	604908	0	0	0	0	80	100	100	100	0	20	80	60	80
60490	AcuteCNOnCrusIRT	reversal	9	604909	60	80	100	80	100	100	100	100	0	0	0	80	100
67580	AcuteCNOnCrusIRT	reversal	10	6758010	100	100	100	100	100	100	100	100	20	20	80	100	100
67580	AcuteCNOnCrusIRT	reversal	11	6758011	40	100	100	100	100	100	100	100	0	20	60	100	100
67580	AcuteCNOnCrusIRT	reversal	12	6758012	100	100	100	100	100	100	100	100	0	40	100	100	100
67580	AcuteCNOnCrusIRT	reversal	13	6758013	0	80	100	100	100	100	100	100	0	0	60	0	40
67580	AcuteCNOnCrusIRT	reversal	14	6758014	100	80	100	100	20	100	80	100	0	20	0	80	100
67582	AcuteCNOnCrusIRT	reversal	18	6758218	20	40	100	100	80	80	100	100	0	0	40	100	100
67582	AcuteCNOnCrusIRT	reversal	19	6758219	40	60	80	80	100	100	100	100	0	0	20	80	80
67582	AcuteCNOnCrusIRT	reversal	20	6758220	20	0	40	80	100	100	100	100	0	0	20	40	80
67585	AcuteCNOnCrusIRT	reversal	3	675853	0	60	80	100	100	100	100	100	0	0	0	0	100
67585	AcuteCNOnCrusIRT	reversal	4	675854	60	80	80	100	20	40	20	80	0	20	100	100	100
	AcuteCNOnCrusIRT	reversal	17	17	20	100	80	100	100	60	100	100	0	0	60	100	100
53342	AcuteCNOnLobVI	reversal	21	5334221	0	20	60	20	80	100	100	100	0	40	0	0	0
53342	AcuteCNOnLobVI	reversal	19	5334219	20	60	80	100	100	100	100	100	0	20	20	0	80
53342	AcuteCNOnLobVI	reversal	20	5334220	100	100	100	100	80	100	100	100	0	20	40	60	80
53342	AcuteCNOnLobVI	reversal	22	5334222	0	100	80	80	100	80	100	80	0	0	40	80	60
53343	AcuteCNOnLobVI	reversal	27	5334327	20	0	60	80	80	80	100	100	0	0	0	0	0
53343	AcuteCNOnLobVI	reversal	28	5334328	20	20	0	0	0	40	80	60	0	0	20	20	60
53345	AcuteCNOnLobVI	reversal	23	5334523	40	60	100	100	100	100	100	80	20	0	0	0	0
53345	AcuteCNOnLobVI	reversal	24	5334524	60	100	100	100	100	100	100	100	0	0	0	0	40
53345	AcuteCNOnLobVI	reversal	25	5334525	60	100	100	80	80	100	100	100	0	0	0	0	20
53345	AcuteCNOnLobVI	reversal	26	5334526	40	0	20	20	100	80	0	40	40	0	20	0	20
51171	AcuteCNOonly 	reversal	9	511719	20	100	100	80	100	100	100	100	0	0	20	60	100
53342	AcuteCNOonly 	reversal	10	5334210	60	20	20	100	80	100	100	100	0	20	80	80	100
53344	AcuteCNOonly 	reversal	11	5334411	60	0	100	80	80	80	80	100	0	100	80	80	100
53344	AcuteCNOonly 	reversal	12	5334412	20	80	80	80	100	100	100	100	0	40	20	80	100
53347	AcuteCNOonly 	reversal	15	5334715	40	40	100	100	20	80	80	60	20	0	0	100	100
53347	AcuteCNOonly 	reversal	16	5334716	40	20	100	60	60	80	80	100	0	20	100	40	100
53347	AcuteCNOonly 	reversal	17	5334717	40	0	80	80	80	80	100	80	0	80	100	100	100
53347	AcuteCNOonly 	reversal	18	5334718	0	80	100	80	80	80	80	60	40	40	40	60	40
60491	AcuteCNOonly	reversal	19	6049119	0	100	20	100	100	100	100	100	20	40	60	80	80
60491	AcuteCNOonly	reversal	20	6049120	60	100	80	100	100	100	100	100	0	20	80	100	100
67584	AcuteCNOonly	reversal	21	6758421	40	100	80	60	100	100	100	100	20	0	0	80	80
67584	AcuteCNOonly	reversal	22	6758422	20	80	100	100	40	100	100	100	20	0	20	80	100
67584	AcuteCNOonly	reversal	23	6758423	40	100	80	100	100	100	100	100	0	0	40	80	100
60493	AcuteCNOonly	reversal	25	6049325	80	80	80	100	80	100	100	100	40	80	100	80	100
60491	AcuteCNOonly	reversal	an21_crus1_lat	60491an21_crus1_lat	100	80	80	100	100	100	100	80	0	20	80	100	0
60493	AcuteCNOonly	reversal	an23_crus1_lat	60493an23_crus1_lat	60	100	100	100	100	100	100	100	0	60	100	100	100
67584	AcuteCNOonly	reversal	an24_crus1_lat	67584an24_crus1_lat	60	100	100	100	60	80	100	100	0	0	60	80	80
67584	AcuteCNOonly	reversal	an25_crus1_lat	67584an25_crus1_lat	100	100	100	100	100	100	80	100	0	20	100	100	100
